team_name,2023/24, 2022/23, 2021/22, 2020/21, 2019/20, 2018/19, 2017/18, 2016/17, 2015/16, 2014/15, 2013/14, 2012/13, 2011/12, 2010/11, 2009/10, 2008/09, 2007/08, 2006/07, 2005/06, 2004/05, 2003/04, 2002/03, 2001/02, 2000/01, 1999/00, 1998/99, 1997/98, 1996/97, 1995/96, 1994/95, 1993/94, 1992/93, 1991/92, 1990/91, 1989/90, 1988/89, 1987/88, 1986/87, 1985/86, 1984/85, 1983/84, 1982/83, 1981/82, 1980/81, 1979/80, 1978/79, 1977/78, 1976/77, 1975/76, 1974/75, 1973/74, 1972/73, 1971/72, 1970/71, 1969/70, 1968/69, 1967/68, 1966/67, 1965/66, 1964/65
Club brugge, 1, 4, 1, 1, 1, 2, 1, 2, 1, 2, 3, 3, 2, 4, 3, 3, 3, 6, 3, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 3, 2, 6, 1, 4, 1, 4, 1, 3, 2, 2, 3, 5, 15, 6, 1, 6, 1, 1, 1, 4, 5, 1, 2, 2, 2, 5, 2, 2, 5, 9
Union, 2, 3, 2, 1B 1, 1B 4, 1B 3, 1B 6, 1B 4, 1B 6
Anderlecht, 3, 11, 3, 4, 8, 6, 3, 1, 2, 3, 1, 1, 1, 3, 1, 2, 2, 1, 1, 2, 1, 2, 3, 1, 1, 3, 4, 4, 2, 1, 1, 1, 2, 1, 2, 2, 4, 1, 1, 1, 2, 2, 2, 1, 5, 2, 2, 2, 2, 3, 1, 6, 1, 3, 4, 4, 1, 1, 1, 1
Cercle brugge, 4, 8, 10, 16, 14, 13, 1B 1, 1B 6, 1B 5, 15, 11, 16, 7, 9, 9, 9, 4, 12, 14, 11, 14, 11, 14, 1B 1, 1B 6, 1B 7, 1B 8, 1B 9, 1B 10, 18, 8, 15, 12, 13, 9, 16, 9, 15, 7, 11, 10, 11, 11, 12, 14, 14, 10, 1B 1, 17, 8, 13, 10, 8, 11, 5, 1B 11, 1B 6, 1B 4
Krc genk, 5, 2, 8, 2, 7, 1, 5, 8, 4, 7, 6, 5, 3, 1, 11, 8, 10, 2, 5, 3, 4, 6, 1, 11, 8, 1, 2, 8, 1B 2, 1B 3, 18, 15, 16, 14, 1B 4, 18
Antwerpen,6, 1, 4, 3, 4, 4, 8, 1B 3, 1B 3, 1B 10, 1B 7, 1B 10, 1B 10, 1B 6, 1B 8, 1B 3, 1B 5, 1B 4, 1B 7, 1B 4, 18,12, 16, 12, 1B 1, 1B 2, 18, 6, 13, 16, 5, 5, 5, 7, 4, 5, 3, 14, 9, 7, 8, 3, 5, 9, 13, 7, 8, 7, 11, 2, 2,7, 12, 13, 1B 2, 1B 12, 15, 5, 10, 13
Gent,  7, 5, 5, 7, 2, 5, 4, 3, 3, 1, 7, 12, 4, 5, 2, 4, 6, 4, 4, 6, 9, 8, 4, 5, 3, 8, 8, 14, 14, 14, 15, 9, 6, 3, 6, 1B 2, 17, 16, 4, 6, 15, 4, 3, 10, 1B 1, 1B 3, 1B 4, 1B 8, 1B 12, 3K 1, 1B 10, 1B 10, 1B 8, 16, 3, 11, 1B 1, 15, 7, 12
Kv mechelen, 8, 13, 7, 8, 6, 1B 1, 16, 7, 10, 9, 13, 8, 9, 7, 7, 10, 13, 1B 2, 1B 13, 1B 1B 1, 1B 1B 7, 17, 1B 1, 18, 11, 1B 1, 1B 5, 17, 10, 11, 8, 3, 4, 2, 3, 1, 2, 2, 11, 12, 6, 1B 1, 18, 1B 5, 1B 11, 1B 10, 1B 7, 17, 15, 17, 7, 5, 6, 1B 2, 1B 9, 15, 14, 12, 6, 1B 2
Stvv, 9, 12, 9, 15, 12, 7, 10, 12, 13, 1B 1, 1B 3, 1B 4, 16, 12, 4, 1B 1, 17, 15, 15, 14, 13, 4, 8, 13, 13, 9, 14, 11, 15, 8, 1B 1, 1B 7, 1B 7, 17, 15, 7, 11, 1B 1, 1B 11, 1B 5, 1B 6, 1B 6, 1B 9, 1B 11, 1B 13, 1B 8, 1B 12, 1B 3, 1B 8, 1B 8, 16, 13, 11, 8, 12, 7, 5, 6, 2, 5
Oh leuven, 10, 10, 11, 11, 1B 3, 1B 7, 1B 2, 1B 7, 16, 1B 5, 15, 10, 14, 1B 1, 1B 9, 1B 12, 1B 3, 1B 5, 1B 6
Westerlo, 11, 7, 1B 1, 1B 4, 1B 1, 1B 4, 1B 7, 16, 15, 11, 1B 1, 1B 3, 15, 8, 12, 6, 9, 8, 9, 12, 6, 10, 14, 8, 6, 12, 12, 1B 2, 1B 12, 1B 6, 1B 11
Standard, 12, 6, 14, 6, 5, 3, 2, 9, 7, 4, 2, 4, 5, 2, 8, 1, 1, 3, 2, 4, 3, 7, 5, 3, 5, 6, 9, 7, 6, 2, 6, 2, 3, 6, 5, 6, 10, 10, 3, 8, 4, 1, 1, 3, 2, 3, 3, 3, 8, 6, 4, 2, 3, 1, 1, 1, 3, 4, 3, 2
Charlerio, 13, 9, 6, 13, 3, 9, 6, 5, 8, 5, 10, 11, 1B 1, 16, 13, 12, 8, 5, 11, 5, 15, 16, 12, 9, 16, 14, 13, 13, 7, 13, 4, 7, 13, 8, 14, 11, 8, 7, 12, 1B 4, 1B 9, 1B 10, 1B 11, 1B 6, 17, 9, 12, 16, 16, 14, 1B 14, 1B 3, 1B 3, 15, 9, 2, 8, 14, 1B 2, 1B 12
Kv korterijk, 14, 14, 13, 14, 11, 8, 7, 10, 9, 6, 8, 9, 6, 10, 5, 14, 1B 1, 1B 3, 1B 5, 1B 7
Rwdm, 15, 1B 1, 1B 2, 1B 6
Kas eupen, 16, 15, 15, 12, 13, 12, 15, 13, 1B 2, 1B 3, 1B 2, 1B 9, 1B 3, 15, 1B 4, 1B 14, 1B 13, 1B 7, 1B 8, 1B 13, 1B 14, 1B 2

